Feature,Importance
Recency,0.08711243892197067
Income,0.06798850936163041
MntWines,0.06562166190214994
MntMeatProducts,0.06403548648196893
ID,0.06124302607065288
MntGoldProds,0.05719228910518618
AcceptedCmp5,0.051050511777624576
AcceptedCmp3,0.04689778099257197
Year_Birth,0.04657643330483757
AcceptedCmp1,0.044783420503942455
MntSweetProducts,0.04345037538326685
NumWebVisitsMonth,0.04181539827822792
NumCatalogPurchases,0.039768065970113946
MntFishProducts,0.03814495031538075
MntFruits,0.03801869526561902
NumStorePurchases,0.037573691684099894
NumWebPurchases,0.0332094006637267
NumDealsPurchases,0.025764107207114667
AcceptedCmp4,0.014303620815944907
Teenhome,0.01248829277832877
Marital_Status_Single,0.011123063751898532
Marital_Status_Married,0.010043605909538702
Education_PhD,0.009842414457005084
Marital_Status_Together,0.007973879792768224
Marital_Status_Divorced,0.006843460427032878
Education_Graduation,0.006809690308143549
Kidhome,0.006647306897702698
Education_Master,0.006552707484857609
AcceptedCmp2,0.006121642460382313
Marital_Status_Widow,0.006051860174065369
Complain,0.0014609156768433168
Education_Basic,0.0013276860709275527
Marital_Status_YOLO,0.0011496157658914526
Marital_Status_Alone,0.0010139940385837315
Z_Revenue,0.0
Z_CostContact,0.0
